,.,ADJ,ADP,ADV,CONJ,DET,NOUN,NUM,PRON,PRT,VERB,X
.,31835646,372,244,0,0,0,244,0,0,252,201,1674
ADJ,56,18131921,28016,467880,2309,9916,1190703,6982,1428,12038,201459,8122
ADP,2473,21034,33232349,254138,24991,83906,10327,718,46250,165270,26412,4376
ADV,0,283264,185561,11421477,25929,60658,87337,1058,3518,42013,33467,2495
CONJ,0,605,23842,42498,8544982,5989,3992,0,1376,735,2695,313
DET,0,6760,68198,17222,5891,31304269,11012,2556,76803,1278,948,227
NOUN,630,989531,27045,127296,3663,13150,64464398,49744,18703,47062,796997,72645
NUM,563,80345,1612,6164,0,3215,531772,3164778,83,8709,12870,11284
PRON,0,2051,47707,3277,0,51871,7902,0,9145648,893,1568,734
PRT,0,13849,257725,71890,0,2331,25055,0,1397,5792205,14853,750
VERB,0,242724,47590,35959,1413,1104,735502,691,1282,16567,39092561,2278
X,2741,13406,5304,4435,1540,5109,131009,860,1882,1970,10912,137073
